"OM_CENTRALIZADA_ID","OM_CENTRALIZADORA_ID","GESTORIA_ID","CONTATO","TELEFONE","CRIACAO","MODIFICACAO","TIPO_CENTRALIZACAO_ID","DATA_INICIO","DATA_FIM"
10389,10056,2,,,2002-01-01 00:00:00.000,2017-10-20 14:45:29.000,1,2004-01-01 00:00:00.000,2015-04-30 00:00:00.000
10396,10056,2,,,2002-01-01 00:00:00.000,2017-10-20 14:46:09.000,3,2004-01-01 00:00:00.000,2015-04-26 00:00:00.000
10124,10137,2,,,2002-01-01 00:00:00.000,2002-01-01 00:00:00.000,2,2004-01-01 00:00:00.000,
10148,10165,2,,,2002-01-01 00:00:00.000,2020-08-04 10:42:17.000,1,2004-01-01 00:00:00.000,2020-05-30 00:00:00.000
10293,10125,2,,,2002-01-01 00:00:00.000,2024-05-23 11:02:55.000,1,2004-01-01 00:00:00.000,2024-04-01 00:00:00.000
10128,10084,2,,,2002-01-01 00:00:00.000,2002-01-01 00:00:00.000,4,2004-01-01 00:00:00.000,
10303,10139,2,,,2002-01-01 00:00:00.000,2017-10-23 14:27:27.000,1,2004-01-01 00:00:00.000,2017-10-14 00:00:00.000
30040,30040,1,"1ºSG-ES MENDES","87122274",2002-01-01 00:00:00.000,2002-01-01 00:00:00.000,,2004-01-01 00:00:00.000,
10139,10317,1,SANTANA FERREIRA,"8126-5157",2002-01-01 00:00:00.000,2002-01-01 00:00:00.000,,2004-01-01 00:00:00.000,
10270,10120,2,,,2002-01-01 00:00:00.000,2002-01-01 00:00:00.000,1,2004-01-01 00:00:00.000,
10267,10267,1,SO-MR PAULO SÉRGIO,"2189-1473",2002-01-01 00:00:00.000,2011-09-20 12:03:44.000,,2004-01-01 00:00:00.000,
10218,10215,2,,,2011-09-30 14:46:53.000,2022-04-07 13:38:31.000,1,2011-10-01 00:00:00.000,
10022,10022,1,,"3233-6264",2002-01-01 00:00:00.000,2002-01-01 00:00:00.000,,2004-01-01 00:00:00.000,
10040,10077,2,,,2002-01-01 00:00:00.000,2002-01-01 00:00:00.000,1,2004-01-01 00:00:00.000,
10087,10371,1,,,2002-01-01 00:00:00.000,2002-01-01 00:00:00.000,,2004-01-01 00:00:00.000,
10239,10371,1,,,2002-01-01 00:00:00.000,2002-01-01 00:00:00.000,,2004-01-01 00:00:00.000,
10127,10371,1,,,2002-01-01 00:00:00.000,2002-01-01 00:00:00.000,,2004-01-01 00:00:00.000,
10095,10095,1,,"9221234516",2002-01-01 00:00:00.000,2002-01-01 00:00:00.000,,2004-01-01 00:00:00.000,
10052,10052,1,"3SG MT LOPES","2126-6260",2002-01-01 00:00:00.000,2021-09-28 14:55:34.000,,2004-01-01 00:00:00.000,
10137,10056,2, , ,2002-01-01 00:00:00.000,2002-01-01 00:00:00.000,4,2004-01-01 00:00:00.000,
10278,10077,2,,,2002-01-01 00:00:00.000,2002-01-01 00:00:00.000,1,2004-01-01 00:00:00.000,
