ano_mes,uasg,codigo_etapa,quantidade
2019-01-01,10100,101,1316.0
2019-01-01,10100,103,573.0
2019-01-01,10100,105,420.0
2019-01-01,10100,414,449.0
2019-01-01,11000,101,3702.0
2019-01-01,11000,103,1098.0
2019-01-01,11000,105,131.0
2019-01-01,11000,414,70.0
2019-01-01,11001,101,1490.0
2019-01-01,11001,103,764.0
2019-01-01,21000,101,6301.0
2019-01-01,21000,103,2469.0
2019-01-01,21000,105,294.0
2019-01-01,21000,414,1701.0
2019-01-01,21000,417,315.0
2019-01-01,31050,101,9049.0
2019-01-01,31050,103,4613.0
2019-01-01,32100,101,29827.0
2019-01-01,32100,103,12509.0
2019-01-01,32100,105,124.0
2019-01-01,32100,414,620.0
2019-01-01,32200,101,4219.0
2019-01-01,32200,103,12202.0
2019-01-01,32200,105,294.0
2019-01-01,32200,414,376.0
2019-01-01,32400,101,13101.0
2019-01-01,32400,103,3911.0
2019-01-01,32400,105,115.0
2019-01-01,32400,413,23.0
2019-01-01,32400,414,1174.0
2019-01-01,33100,101,6571.0
2019-01-01,33100,103,3852.0
2019-01-01,33100,105,338.0
2019-01-01,33100,413,23.0
2019-01-01,33100,414,324.0
2019-01-01,44030,101,3184.0
2019-01-01,44030,103,3321.0
2019-01-01,44030,105,370.0
2019-01-01,44030,414,185.0
2019-01-01,51209,101,829.0
2019-01-01,51209,103,892.0
2019-01-01,51210,101,378.0
2019-01-01,51210,102,1227.0
2019-01-01,51210,103,459.0
2019-01-01,51210,104,1345.0
2019-01-01,51212,101,3184.0
2019-01-01,51212,103,3484.0
2019-01-01,51212,105,1298.0
2019-01-01,51212,414,346.0
2019-01-01,51214,101,755.0
2019-01-01,51214,103,1100.0
2019-01-01,52000,101,2546.0
2019-01-01,52000,103,1552.0
2019-01-01,52000,105,1260.0
2019-01-01,52000,414,2305.0
2019-01-01,52100,101,17052.0
2019-01-01,52100,103,3174.0
2019-01-01,52100,105,2002.0
2019-01-01,52100,413,16.0
2019-01-01,52100,414,1588.0
2019-01-01,53000,101,3001.0
2019-01-01,53000,103,1683.0
2019-01-01,53000,105,1214.0
2019-01-01,53000,405,802.0
2019-01-01,53000,414,915.0
2019-01-01,60000,101,2519.0
2019-01-01,60000,103,734.0
2019-01-01,60000,105,23.0
2019-01-01,60000,414,230.0
2019-01-01,62000,101,2654.0
2019-01-01,62000,103,1074.0
2019-01-01,62000,105,63.0
2019-01-01,62000,414,336.0
2019-01-01,62200,101,10800.0
2019-01-01,62200,103,8515.0
2019-01-01,62200,105,372.0
2019-01-01,62200,414,1705.0
2019-01-01,62300,101,25724.0
2019-01-01,62300,103,5782.0
2019-01-01,62300,105,261.0
2019-01-01,62300,107,69.0
2019-01-01,62300,414,564.0
2019-01-01,62400,101,44982.0
2019-01-01,62400,103,15819.0
2019-01-01,62400,105,2078.0
2019-01-01,62400,414,74.0
2019-01-01,62400,417,46.0
2019-01-01,62500,101,1591.0
2019-01-01,62500,103,1041.0
2019-01-01,62500,105,16.0
2019-01-01,62500,414,104.0
2019-01-01,62500,417,16.0
2019-01-01,62600,101,19033.0
2019-01-01,62600,103,90197.0
2019-01-01,62600,105,546.0
2019-01-01,62600,413,31.0
2019-01-01,62600,414,4002.0
2019-01-01,64000,101,7676.0
2019-01-01,64000,103,1718.0
2019-01-01,64000,105,102.0
2019-01-01,64000,414,1043.0
2019-01-01,65701,101,3814.0
2019-01-01,65701,103,1681.0
2019-01-01,65701,105,506.0
2019-01-01,65701,413,21.0
2019-01-01,65701,414,254.0
2019-01-01,65704,101,7749.0
2019-01-01,65704,103,2194.0
2019-01-01,65704,105,475.0
2019-01-01,65704,405,22.0
2019-01-01,65704,407,154.0
2019-01-01,65704,414,801.0
2019-01-01,65706,101,2928.0
2019-01-01,65706,103,3128.0
2019-01-01,65706,105,176.0
2019-01-01,65706,414,293.0
2019-01-01,65720,101,54389.0
2019-01-01,65720,103,24845.0
2019-01-01,65720,105,5516.0
2019-01-01,65720,201,452.0
2019-01-01,65720,203,476.0
2019-01-01,65720,413,44.0
2019-01-01,65720,414,3251.0
2019-01-01,65720,417,242.0
2019-01-01,65741,101,1792.0
2019-01-01,65741,103,1855.0
2019-01-01,65741,105,539.0
2019-01-01,65741,405,176.0
2019-01-01,65741,413,23.0
2019-01-01,65741,414,368.0
2019-01-01,67200,101,1363.0
2019-01-01,67200,103,1139.0
2019-01-01,67200,105,69.0
2019-01-01,67200,414,260.0
2019-01-01,67200,417,48.0
2019-01-01,71000,101,4122.0
2019-01-01,71000,103,1422.0
2019-01-01,71000,105,287.0
2019-01-01,71000,413,21.0
