ano_mes,codigo,nome,balanco_paiol_mes_anterior,gen_depsubmrj_depnav_reg,gen_adq_form_extra_mb_licit1,gen_adq_form_extra_mb_licit2,gen_adq_form_extra_mb_slicit,remessa_recebida,remessa_expedida,vale_extra,termo_de_despesa,generos_consumidos,totais_balanco_paiol_receita,totais_balanco_paiol_despesa,saldo
2019-01-01,81200,1° BATALHAO DE OPERAÇOES LITORANEAS DE FUZILEIROS NAVAIS,98180.1572,73516.14,42111.8,43376.544,1174.4,0.0,0.0,2871.75,0.0,162351.16,258359.0412,165222.91,93136.1312
2019-01-01,88200,1º Batalhão de Operações Ribeirinhas,698734.61658,0.0,0.0,0.0,158691.81,0.0,0.0,19335.01,0.0,168038.208,857426.42658,187373.218,670053.20858
2019-01-01,82200,2° BATALHÃO DE OPERAÇÕES LITORÂNEAS DE FUZILEIROS NAVAIS,63728.7586,31178.35,54681.395,0.0,0.0,0.0,0.0,5469.15,0.0,65744.78,149588.5036,71213.93,78374.5736
2019-01-01,83200,3° BATALHÃO DE OPERAÇÕES LITORÂNEAS DE FUZILEIROS NAVAIS,94752.65847,9647.28,3400.21,0.0,505.56,0.0,0.0,6570.2,0.0,12721.57279,108305.70847,19291.77279,89013.93568
2019-01-01,71100,BASE DE ABASTECIMENTO DA MARINHA NO RIO DE JANEIRO,170463.4061,101940.79,92793.32,19713.2,12132.2178,0.0,0.0,25542.86,0.0,191597.165033,397042.9339,217140.025033,179902.908867
2019-01-01,95380,BASE DE FUZILEIROS NAVAIS DA ILHA DAS FLORES,116668.7415,70443.05,73079.59846,17886.312,1448.3993,0.0,0.0,5867.51,0.0,143673.5475,279526.10126,149541.0575,129985.04376
2019-01-01,95180,BASE DE FUZILEIROS NAVAIS DA ILHA DO GOVERNADOR,552113.2966,305543.27,225817.724,4293.0,12827.0051,0.0,0.0,22460.04,0.0,627413.5515,1100594.2957,649873.5915,450720.7042
2019-01-01,95500,BASE DE FUZILEIROS NAVAIS DO RIO MERITI,184642.1520741,71755.65,64467.88,47997.24,26755.9238,0.0,0.0,32525.83,0.0,211685.8809,395618.8458741,244211.7109,151407.1349741
2019-01-01,51212,BASE DE HIDROGRAFIA DA MARINHA EM NITERÓI,162426.6745,139360.19,68049.532,110903.185,12383.0992,0.0,3293.94,32244.08,0.0,257248.088,493122.6807,292786.108,200336.5727
2019-01-01,86800,BASE FLUVIAL DE LADÁRIO,249444.51187,72769.16,88404.209,93472.92375,86.13,0.0,0.0,49021.79,0.0,224286.06562,504176.93462,273307.85562,230869.079
2019-01-01,83800,BASE NAVAL DE NATAL,167772.7484,102001.65,95643.1797,23924.21,10289.0431,0.0,0.0,0.0,0.0,178245.57,399630.8312,178245.57,221385.2612
2019-01-01,95400,BATALHÃO DE OPERAÇÕES ESPECIAIS DE FUZILEIROS NAVAIS,106077.53505,41686.03,71892.96,15827.0,0.0,0.0,0.0,8094.85,0.0,107190.1923,235483.52505,115285.0423,120198.48275
2019-01-01,31050,BATALHÃO NAVAL,219225.22508,26199.05,158110.46,142950.0404,20742.307,0.0,0.0,29150.04,0.0,283520.8758,567227.08248,312670.9158,254556.16668
2019-01-01,84310,CAPITANIA DOS PORTOS DA AMAZONIA ORIENTAL,17092.225,5561.91,11079.62,0.0,2158.9403,0.0,0.0,0.0,0.0,24699.15,35892.6953,24699.15,11193.5453
2019-01-01,83340,CAPITANIA DOS PORTOS DE PERNAMBUCO,18383.9929,920.0,29567.58622,0.0,753.68,0.0,0.0,1612.03,0.0,28089.27828,49625.25912,29701.30828,19923.95084
2019-01-01,85340,CAPITANIA DOS PORTOS DE SANTA CATARINA,17211.3896,0.0,0.0,27934.1433,237.2106,0.0,0.0,459.08,0.0,25396.735,45382.7435,25855.815,19526.9285
2019-01-01,83320,CAPITANIA DOS PORTOS DO CEARÁ,34536.42495,0.0,4840.74,0.0,7003.1904,0.0,0.0,1787.25,0.0,20159.56015,46380.35535,21946.81015,24433.5452
