OM_CENTRALIZADA_ID,OM_CENTRALIZADORA_ID,TIPO_CENTRALIZACAO_ID,DATA_INICIO,DATA_FIM
99000,80000,2.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
67000,62000,4.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
65700,65704,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
95100,95180,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
80000,81000,4.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
95106,95180,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
71250,71100,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
71300,71100,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
71200,71100,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
71230,71100,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
71220,71100,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
71260,71100,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
95104,95180,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
95120,95180,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
95700,95180,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
95130,95180,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
95140,95180,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
95160,95180,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
30000,31050,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
31000,31050,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
81940,31050,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
31051,31050,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
32000,31050,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
95600,95500,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
95320,95500,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
95310,95500,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
95000,95500,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
2100,71100,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
72000,71000,4.0,2012-04-11 00:00:00.000,2026-01-01 00:00:00
95340,95380,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
95370,95380,4.0,2004-01-01 00:00:00.000,2021-03-09 00:00:00.000
95390,95380,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
65730,65701,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
16000,52000,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
91902,53000,1.0,2009-04-01 00:00:00.000,2026-01-01 00:00:00
71290,71100,1.0,2009-04-01 00:00:00.000,2026-01-01 00:00:00
51000,51212,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
51200,51212,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
51213,51212,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
