DN_ID,ID,CODIGO,NOME,INDICATIVO_NAVAL,SIGLA,ENDERECO,BAIRRO,CIDADE,UF,CEP
4.0,10037,84330,CAPITANIA DOS PORTOS DO PIAUI,CPPARN,CPPI,"AVENIDA DAS NAÇÕES UNIDAS, Nº 530",NOSSA SENHORA DO CARMO,PARNAIBA,PI,64200040
1.0,10039,91622,FRAGATA DODSWORTH,FDODSW,FDODSWORTH,,,,,
7.0,10043,10000,COMANDANTE DA MARINHA,COMMAR,CM,ESPLANADA DOS MINISTERIOS - BLOCO N - 2o e 3o ANDARES,,BRASÍLIA,DF,70055900
1.0,10044,91901,CENTRO DE ADESTRAMENTO ALMIRANTE MARQUES DE LEÃO,CALEAO,CAAML,"ILHA DO MOCANGUÊ, S/Nº",NITERÓI,NITERÓI,RJ,24040300
1.0,10045,91600,COMANDO DA FORÇA DE SUPERFÍCIE,FORPER,ComForSup,ILHA DE MOCANGUÊ,CENTRO,NITERÓI,RJ,24040300
1.0,10055,67100,SERVIÇO DE ASSISTENCIA SOCIAL DA MARINHA,SVCASS,SASM,"PRAÇA BARÃO DE LADÁRIO, S/Nº - COMPLEXO DO 1º DN",CENTRO,RIO DE JANEIRO,RJ,20091000
1.0,10058,21000,ESCOLA DE GUERRA NAVAL,GUENAV,EGN,"AV. PASTEUR, 480",URCA,RIO DE JANEIRO,RJ,22290255
3.0,10059,83602,ESCOLA DE APRENDIZES-MARINHEIROS DE PERNAMBUCO,EAMRCF,EAMPE,"AV. OLINDA DOM HÉLDER CÂMARA, S/Nº  - COMPLEXO SALGADINHO",OLINDA,PERNAMBUCO,PE,53110901
1.0,10063,91663,NAVIO-TRANSPORTE DE TROPAS ARY PARREIRAS,NTRAPR,NTRTAPARREIRAS,"ILHA DE MOCANGUÊ, S/Nº - BASE NAVAL DO RIO DE JANEIRO",CENTRO,NITERÓI,RJ,24040300
1.0,10065,20301,INSTITUTO DE PESQUISAS DA MARINHA,INSPEQ,IPqM,"RUA IPIRU, S/Nr",J. GUANABARA,ILHA DO GOVERNADOR,RJ,21931090
6.0,10066,86100,COMANDO DA FLOTILHA DE MATO GROSSO,FLTMGS,ComFlotMT,RUA 14 DE MARCO S/Nr.,,LADÁRIO,MS,79370000
1.0,10074,91140,1º ESQUADRÃO DE HELICÓPTEROS DE ESCLARECIMENTO E ATAQUE,HELITQ,EsqdHA-1,RUA COMANDANTE ITURIEL S/Nº,FLUMINENSE,SÃO PEDRO DA ALDEIA,RJ,28940000
1.0,10078,51500,CENTRO DE AUXÍLIOS À NAVEGAÇÃO ALMIRANTE MORAES REGO,CSNRMR,CAMR,"RUA BARÃO DE JACEGUAY, S/N",PONTA DA ARMAÇÃO,NITERÓI,RJ,24048900
4.0,10080,84121,NAVIO-PATRULHA GUANABARA,NPAGBR,NPaGuanabara,"RODOVIA ARTHUR BERNARDES, S/Nº",VAL-DE-CÃES,BELÉM,PA,66110300
1.0,10081,62411,AVISO DE INSTRUÇÃO GUARDA-MARINHA JANSEN,AVIJAN,AVINGMJANSEN,"ILHA DE VILLEGAGNON, S/N",CASTELO,RIO DE JANEIRO,RJ,21853480
