OM,latitude,longitude,Endereços
IPqM,-22.820754,-43.1875794,"02, Rua Ipiru, Cacuia, Rio de Janeiro, Rio de Janeiro, Brazil, 21931-095, "
CPBA,-12.9749626,-38.5153604,"1-193, Avenida das Naus, Comercio, Salvador, Bahia, Brazil, 40015-270, "
BFLa,-19.004394,-57.5985504,"1, Avenida 14 de Março, Centro, Ladário, Mato Grosso do Sul, Brazil, 79370-000, "
DelItacuruca,-22.9303547,-43.9102901,"1, Praça Marcílio Dias, Itacuruçá, Mangaratiba, Rio de Janeiro, Brazil, 23860-000, "
AgCaceres,-16.063539,-57.68845229999999,"1, Rua Professor Rizo, Centro, Cáceres, Mato Grosso, Brazil, 78200-000, "
AgPMurtinho,-21.7019923,-57.89154119999999,"1011, Rua Coronel Pedro Celestino, Centro, Porto Murtinho, Mato Grosso do Sul, Brazil, 79280-000, "
COMRJ,-22.833271,-43.2615699,"10500, Avenida Brasil, Olaria, Rio de Janeiro, Rio de Janeiro, Brazil, 21012-350, "
CIANB,-22.8354238,-43.259803,"10500, Avenida Brasil, Olaria, Rio de Janeiro, Rio de Janeiro, Brazil, 21012-351, "
CCIM,-22.8342756,-43.260799,"10500, Avenida Brasil, Penha, Rio de Janeiro, Rio de Janeiro, Brazil, 21012-350, "
DelItajai,-26.9058456,-48.6539888,"1055, Avenida Prefeito Paulo Bauer, Centro, Itajaí, Santa Catarina, Brazil, 88301-020, "
CEFAN,-22.832152,-43.2645892,"10590, Avenida Brasil, Penha, Rio de Janeiro, Rio de Janeiro, Brazil, 21012-350, "
CMN,-22.829061,-43.2704159,"10592, Avenida Brasil, Penha, Rio de Janeiro, Rio de Janeiro, Brazil, 21012-350, "
BFNRM,-22.8038,-43.291839,"1060, Avenida Trevo das Missões, Cordovil, Duque de Caxias, Rio de Janeiro, Brazil, 25085, "
CIAA,-22.8270441,-43.2733548,"10946, Avenida Brasil, Penha, Rio de Janeiro, Rio de Janeiro, Brazil, 21012-350, "
ERMRG,-32.1433146,-52.1108342,"11, Rua Nova Onze, Industrial Tamandaré, Rio Grande, Rio Grande do Sul, Brazil, 96215-840, "
CFMG,-19.9677344,-43.9344123,"1100, Avenida Celso Porfírio Machado, Belvedere, Belo Horizonte, Minas Gerais, Brazil, 30320-400, "
AgCamocim,-2.9012558,-40.8431118,"113, Rua Doutor João Thomé, Camocim, Camocim, Ceará, Brazil, 62400-000, "
DEN,-22.8993831,-43.1770935,"118, Rua Primeiro de Março, Centro, Rio de Janeiro, Rio de Janeiro, Brazil, 20010-000, "
CCCPM,-22.8992088,-43.1796941,"11º andar, 39, Avenida Rio Branco, Centro, Rio de Janeiro, Rio de Janeiro, Brazil, 20040-009, "
AgABranca,-4.9562484,-37.1366742,"12, Rua João Félix, Centro, Areia Branca, Rio Grande do Norte, Brazil, 59655-000, "
GptFNNa,-5.7951049,-35.227678,"120-138, Rua Marcílio Dias, Quintas, Natal, Rio Grande do Norte, Brazil, 59040-000, "
HNRe,-8.0462435,-34.87537,"1200, Avenida Cruz Cabugá, Santo Amaro, Recife, Pernambuco, Brazil, 50040-000, "
CN,-23.0146625,-44.32905400000001,"1234-1312, Avenida Marquês de Leão, Centro, Angra dos Reis, Rio de Janeiro, Brazil, 23900-070, "
DelAReis,-23.0100089,-44.32077940000001,"13, Avenida Almirante Júlio César de Noronha, Centro, Angra dos Reis, Rio de Janeiro, Brazil, 23900-010, "
HNLa,-19.0024902,-57.59763539999999,"13, Rua Almirante Frontin, Setor 1, Ladário, Mato Grosso do Sul, Brazil, 79370-000, "
AgCSul,-7.611614499999999,-72.6837259,"130, Rua José Soriano Silva, Formoso, Cruzeiro do Sul, Acre, Brazil, 69980-000, "
GptFNSa,-12.963583,-38.5075677,"1300, Avenida da França, Comercio, Salvador, Bahia, Brazil, 40010-000, "
CHN-4,-1.395941,-48.4883543,"133-189, Rua Almirante Dantas Torres, Val de Caes, Belém, Pará, Brazil, 66115-520, "
CTecCFN,-22.8091311,-43.29519699999999,"13476, Avenida Brasil, Parada de Lucas, Rio de Janeiro, Rio de Janeiro, Brazil, 21010-076, "
CAAML,-22.8144559,-43.2931275,"13476, Avenida Brasil, Parada de Lucas, Rio de Janeiro, Rio de Janeiro, Brazil, 21012-350, "
DelSFSul,-26.2447063,-48.63985940000001,"138, Rua Doutor Lauro Müller, Centro, São Francisco do Sul, Santa Catarina, Brazil, 89240-000, "
DelPEpitacio,-21.7588159,-52.1105119,"14-71, Rua Porto Alegre, Vila Santa Rosa, Presidente Epitácio, São Paulo, Brazil, 19470-000, "
HNSa,-12.9622038,-38.506391,"1400, Avenida da França, Comercio, Salvador, Bahia, Brazil, 40010-000, "
CFT,-4.2342883,-69.9420829,"143, Rua Duarte Coelho, Tabatinga, Amazonas, Brazil, 69640-000, "
PNSPA,-22.8241446,-42.0961936,"1447-1491, Rua Alberto Santos Dumont, Base Aeronaval, São Pedro da Aldeia, Rio de Janeiro, Brazil, 28940-000, "
CPES,-20.317392,-40.2986375,"145, Rua Belmiro Rodrigues da Silva, Enseada do Suá, Vitória, Espírito Santo, Brazil, 29050-435, "
AgPenedo,-10.2934713,-36.584215,"152, Avenida Duque de Caxias, Centro, Penedo, Alagoas, Brazil, 57200-000, "
CMM,-3.1302037,-60.02714169999999,"157, Rua José Clemente, Centro, Manaus, Amazonas, Brazil, 69010-070, "
ComFFE,-22.804636,-43.2904833,"168, Rua Silva Fernandes, Parque Duque, Duque de Caxias, Rio de Janeiro, Brazil, 25085-015, "
BtlEngFuzNav,-22.8045941,-43.290543,"168, Rua Silva Fernandes, Parque Duque, Duque de Caxias, Rio de Janeiro, Brazil, 25085-015, "
RPBOMI,51.4606449415749,-0.2147331302739987,170 UPPER RICHMOND ROAD - - 3º ANDAR - PUTNEY - LONDRES - - INGLATERRA - SW15 2SH
CFRP,-25.546879,-54.591119,"170, Rua Barão do Rio Branco, Centro, Foz do Iguaçu, Paraná, Brazil, 85851-310, "
CNBE,54.5259614,15.2551187,"170, UPPER RICHMOND ROAD - PUTNEY -LONDON - SW15 - 2SH - 170 - - PUTNEY - LONDRES - - INGLATERRA - "
ERMBe,-1.391905,-48.435001,"1766, Avenida Augusto Montenegro, Mangueirão, Belém, Pará, Brazil, 66623, "
AMAZUL,-23.5737825,-46.7317329,"1847, Avenida Corifeu de Azevedo Marques, Butantã, São Paulo, São Paulo, Brazil, 05581-001, "
HNMD,-22.9139074,-43.2833747,"185, Rua César Zama, Lins de Vasconcelos, Rio de Janeiro, Rio de Janeiro, Brazil, 20725-090, "
ESM,-22.9132419,-43.2843646,"185, Rua César Zama, Lins de Vasconcelos, Rio de Janeiro, Rio de Janeiro, Brazil, 20725-090, "
INPG,-22.8959502,-43.1784241,"19, Avenida Rodrigues Alves, Centro, Rio de Janeiro, Rio de Janeiro, Brazil, 20091, "
CFS,-2.4190798,-54.7274268,"1937, Avenida Tapajós, Aldeia, Santarém, Pará, Brazil, 68040-004, "
CPRS,-32.0310395,-52.0837677,"198, Rua Marechal Andréia, Vila Militar, Rio Grande, Rio Grande do Sul, Brazil, 96201-260, "
AgTramandai,-29.9783811,-50.1220603,"199, Avenida Beira Rio, Barra, Tramandaí, Rio Grande do Sul, Brazil, 95590-000, "
PEM,-22.8994204,-43.1768824,"1º, 2º e 3º, 114, Rua Primeiro de Março, Centro, Rio de Janeiro, Rio de Janeiro, Brazil, 20010-000, "
AgCaracaraí,1.802927,-61.13267019999999,"2-622, Avenida Doutor Zany, Caracaraí, Roraima, Brazil, 69360-000, "
CTMRJ,-22.8207105,-43.1875325,"2, Rua Ipiru, Cacuia, Rio de Janeiro, Rio de Janeiro, Brazil, 21931-090, "
HNBe,-1.4655121,-48.503187,"200, Rua Arsenal, Cidade Velha, Belém, Pará, Brazil, 66023-110, "
CeIMRG,-32.1404105,-52.1066019,"2000, Av. Avenida Almirante Maximiano da Fonseca, Barra Nova, Rio Grande, Rio Grande do Sul, Brazil, 96204-000, "
CPAP,-0.0545313,-51.16171440000001,"2000, Rua Cláudio Lúcio Monteiro, Remédios, Santana, Amapá, Brazil, 68927-003, "
PAPEM,-22.8969438,-43.1745864,"23, Rua da Ponte, Centro, Rio de Janeiro, Rio de Janeiro, Brazil, "
DelCFrio,-22.8761115,-42.0196659,"230, Rua Jorge Veiga, Gamboa, Cabo Frio, Rio de Janeiro, Brazil, 28922-030, "
CPRN,-5.7787654,-35.2071619,"232, Rua Chile, Ribeira, Natal, Rio Grande do Norte, Brazil, 59012-250, "
CIABA,-1.3707761,-48.47893,"245, Rodovia Arthur Bernardes, Pratinha (Icoaraci), Belém, Pará, Brazil, 66816-900, "
CTMSP,-23.5646488,-46.739159,"2468, Avenida Professor Lineu Prestes, Vila Universitaria, São Paulo, São Paulo, Brazil, 05508-000, "
CDSub,-23.5646488,-46.739159,"2468, Rua Cidade Universitária, Butantã, São Paulo, São Paulo, Brazil, 05508-000, "
CCEMSP,-23.5530143,-46.7292004,"2493-2547, Avenida Professor Mello Moraes, Butantã, São Paulo, São Paulo, Brazil, 05508-030, "
CPPE,-8.0600758,-34.8709605,"25, Rua de São Jorge, Recife, Recife, Pernambuco, Brazil, 50030-240, "
IEAPM,-22.9773425,-42.022118,"253, Rua Kioto, Praia dos Anjos, Arraial do Cabo, Rio de Janeiro, Brazil, 28930-000, "
DASM,-22.8843168,-43.3960481,"2554, Avenida Marechal Fontenele, Jardim Sulacap, Rio de Janeiro, Rio de Janeiro, Brazil, 21741, "
